bus_id,vector
XOAk4yIrqsvzIm-i6t73ng,"[0.5175876593460167, 0.37369362950653984, -0.23395367244351967, 0.6606902330856124, 0.697387250648038, 0.08799865311533889, 1.421027281848989, -0.4467297781866826, -0.5853841529667063, -0.03381510914982164, -1.5003178699286568, -2.260119757609988, 0.5827647025921522, 1.1290337411296074, -1.3685912593697978, -0.7972348090784781, -0.9614288692211652, -0.3114561724494649, -0.07032479339476815, -0.3263761560047562, -1.0485304922651604, 0.49071234420927473, -0.042697137734839484, -1.5468048638941736, -0.686995744667063, 0.22105368118906063, -0.30953274397146263, -1.0070664530558857, -0.3336770280856124, 0.2547724162366231]"
tNot7SJRwpWNGCUaixcBaw,"[-0.011483135226298253, 0.07472868216293474, -0.5400549030824201, -0.7562665102810863, 0.13640428153406384, 1.5762974824535494, 0.9637047141448309, 0.5210571959266317, 0.12030436261076706, -0.4918361275512148, 0.08815924302048594, -0.20070575030014295, -0.2645744350404955, 1.647736657532158, -0.8408781005192947, -0.14418989303001428, -1.006253624616484, -0.5173457924202001, 0.14415998398761315, -1.1171920906288706, -0.026093550919485453, 0.4708002501476894, 0.37164499518342076, -0.6442218815054789, 0.2460482907575036, -0.1591098715197713, -0.33453495572177233, -0.56476740115293, -1.0130026884945211, 0.5688945733444498]"
rnvIi14t9yWuFNwZ7ruVbQ,"[1.0026382790310786, 0.34878415157221204, -0.652292808464351, 0.03681057502312614, 0.719153133820841, -0.2141455244972578, 0.7792907729433272, 0.8950918626508226, -1.0168338344241319, -1.0782889063254113, -0.8434802967093236, -0.17154014208409507, 1.8249578268738575, -0.006504033290676414, 0.11561402521023764, -1.3552738808592322, -0.9163887893967094, -0.05685329083180987, -0.2628463338939671, -1.2494256212431445, -0.8226205546617916, 1.0390026884460695, -1.106801198354662, 0.26402327566727607, -0.44282654597806215, -1.037291427202925, 0.8074292484095064, -1.0627315236380255, 0.9756568457952467, 0.0980789240036563]"
2pbOSrbB5AtQIa240AXNvQ,"[0.7970865351872247, -0.7807601803083699, -0.5077856015666299, 0.13256073987059475, -0.10674993327918504, -0.23589367399779737, 0.5265844784581498, 0.35581417730121145, 0.48398006429790746, 0.275794756685022, -0.6100942649669603, -0.4708178603854625, 0.7278596201679517, 0.11381363517345813, -0.2991084631194933, -0.63907132029185, 0.45817931967731285, -0.3956069831139866, -0.23194608651431714, -0.30126408472191635, 1.4054916804708149, 0.006654193470539674, 0.46746974604900876, 0.2912533199146476, 0.7366315994941905, 0.21889911779460344, 0.311435144873348, -1.0625897855726871, 0.6416684472230176, -0.5179936816932819]"
tx_0mIXEr4TPucSYyfA2eg,"[0.1617323130379747, -0.7348797262370541, 0.36719713528193326, -0.7143860673647872, 0.6548678223935558, 0.8046947432681244, 0.2181463812082854, 1.1375260634982738, 0.3002132080782508, 0.23979513370540853, -0.7267741622554661, 0.24380648029919444, 1.1281426025086307, 0.13910393804372842, 0.6933050530840046, -0.5678749557652474, -0.27137213675489075, -0.622534101173763, 0.41085280011507475, -0.21542191685845805, 0.04681399858457996, -0.43202832310701955, 0.3147140467433832, 0.2879327034982739, 0.5486751575604142, 0.09352910782508624, 0.8430699234522439, -1.1370179617951668, 0.625261152853855, 0.8347095914039125]"
aODcYfWni7x_XnPL5E-fgg,"[0.4930780095068493, -0.4689303132283106, -0.7090309374429224, -0.4853281904931506, 0.21641112541872146, -0.9776951441872146, 0.63577435669863, -1.1496579928812785, 0.19921792952054795, -0.06598724071689498, 0.49138710394977164, 0.5590942610091323, 0.13876020714611872, 0.15295159597716895, -0.5187104741735161, -0.37493563809132424, 0.30909602035433786, -0.4699832095159817, -0.18167654236695893, -1.578837126237443, 0.4749169732356165, 0.8852591104429223, 0.8749728102968036, -0.3802522680045662, -0.564591443675799, -0.6735271116621006, 0.7889140705159817, -1.079227504849315, -0.44836471187671234, -0.8032894208584472]"
yE4k_CM9L0yPVVozyELfSQ,"[0.5335104158282141, -0.9776597209622179, 0.34758726610655066, -0.31198929031530315, 0.6152166018075566, -0.0789282415330253, 0.46373913475400924, 0.7364401619733625, 0.4639877069203588, -0.02766202144876325, -0.8212010355857572, 0.2518627462769177, 1.0461500738516012, -0.21828801405273174, 0.6740588167733623, -0.23355493087496607, 0.2712762424452297, 0.39312433263930424, 0.3127261472111987, -0.6588175860097852, 0.27484769634139716, -0.5955102231666214, 0.4957027086550693, 0.11101116937483012, 0.4115741407197065, 0.5507337286925794, 0.31192807229681985, -1.0630762076759992, -0.33973048799130207, -0.1422501661647187]"
bLSa5YFX6kKci_-nLz_0qQ,"[-0.320196396558998, 0.24701579529993403, 0.18425034291364534, 0.3786326561371127, -0.045344453441001985, 0.8375282172181938, -0.27542162407382986, 0.15200033494396833, 0.22946531816084373, -1.2450752535151615, 0.5078909391232697, 1.3953563651944625, 0.6984566278971654, 0.7478624716611734, 0.6055688876862227, -0.42346583847066566, 0.22487586101516144, -0.8785538543572843, -0.38400954775873436, -1.2594280996308507, 0.6092622832696111, 0.15919294253131175, -0.13309485506921556, -0.6200272274291363, 0.060171389202373124, -0.9886900103361899, 0.6687400119314437, -0.7191614677851021, -0.4917893679019446, -0.13267445809492412]"
Gzs4Gjd2MI72mmmWKwfXlw,"[0.11754797843252308, -0.16541362007544003, -0.32305629516345347, 0.617903908390612, -0.726816418214585, 1.0630727671165128, 0.4025223462866722, -1.000091468398994, -0.05820194602682316, -0.7663435020871754, -0.43541394875943, 0.724787663319363, -0.20755818484492877, 0.5965107241911148, 0.164897603285834, -0.4946470128667226, -0.5335658058340318, -0.2673388634702431, -0.4275049726404023, -1.39033405503772, -0.8663062368315172, 0.9130985130427492, 0.2599854650963956, -0.9345773996144177, -0.4505487593545684, -0.5697235303772004, -0.8126847264878456, -0.8689472524476111, -0.7318595088097233, -0.97511351217938]"
SrhiDE3sOswF096hB1YeyA,"[1.5796663813120566, -0.6641171021365248, -0.9409414997340427, 1.4119149612234043, 0.6824990431737589, 0.045211356959219864, 1.910529501684397, 0.40351346058510634, -1.1954511223404256, -0.8636571696187944, -0.668859156498227, -0.23747604590425525, -0.888853126179078, -0.14813662468971633, -0.810892923501773, -0.7994108198138298, 0.4951576186258865, -0.8410829071985816, -0.5174816608421986, -0.9743056921808511, -0.6704306595567375, -0.16179097353723404, 0.5995080349468086, -0.9993864267641843, -0.41297498210106387, -0.15298118292553195, -0.20031984579787224, -0.8753955514184397, -0.43009406779255327, -1.8753382198581563]"
XYhqWJmUdrUVLvWMwUdMHg,"[1.483266056015831, -0.9420208066402813, -0.8101909134564642, 0.031429824441512766, 0.8273082906420405, 0.7201029168337731, 1.087334488460862, -0.0674255650923483, 0.38803349230430967, 1.0269471481002639, -1.0071519532189976, -1.420450750817942, 0.10099514500439755, 1.1508025717326296, -0.19039329620932277, 0.658978970817942, -1.362646003051891, 0.29454886427440624, 0.10393275747581347, -0.02422895429199649, -0.21275021821459988, -0.2036646483641161, -0.014320328117853984, -0.8874355132102022, -0.6289870358135443, -0.29392300804749344, -0.4815576056816183, -1.2333828926385222, -0.45571574821459976, -0.3717706106596306]"
FM-rxNJP7eSXZGwizEd-Dg,"[-0.02689962567975833, -0.7063851139879155, -0.5581411718630412, 0.09473416398791541, 0.371619538610272, 0.21818936931520644, 0.4984579228801611, 0.10983721128902314, 1.0645351179053373, 0.06593487817724067, 0.12491081472306145, 0.4552322071601208, -0.1467691897280967, 0.10093337262839877, -0.39428379025176236, -0.4879582828499496, 0.021475123746223575, -0.6850053268479357, -1.158086535478348, -0.9525374189728097, 1.1124759930412886, 0.455121909204431, 0.9596349809869085, -0.4961070181873111, 0.5467851642195368, 0.4482621733131924, -0.5253812157502517, -0.7309195659818731, 0.3816673575226587, 0.04050680797583083]"
uu5ApFAvmi7_mqXwxob2LA,"[0.31832711295564786, -0.6529903738634788, -0.49477166488218965, -0.5596372215419266, 0.08136639058558558, 1.0443527615557864, 1.4327969496777544, 0.3525858641822592, 0.46743952829175334, -0.4427530380699931, 0.4936671480353431, -0.5794839359355509, 0.3555973606930007, 0.4832333399584201, -1.145504288998614, -1.0090677523804574, -0.25577930620928613, -0.8790694542273044, -0.08076573588011092, -1.001454652924463, 0.26371996813236315, 0.14880612061677062, 1.1305479225502424, -0.5424207147054748, 0.47266407411988903, -0.14400043563063067, 0.29934507509702013, -0.6968664651455301, -0.06606425003118505, 0.48766265920651425]"
t6ufZ29wxZ9_zYO5DRPgwA,"[0.0859427999787234, -1.0955417418510638, 0.6519493735319148, -0.6468053112765956, 0.8480037416170214, 0.07109715255319149, 1.8565975065957445, 0.8073989945744681, 1.2597847910638298, -0.5387723927234042, 0.06219404627659574, 0.14091754887234043, -0.35243731521276594, -0.4593554247446809, -0.2950697733617021, -1.1453361872340428, -0.13279555585106384, -0.7307890131914894, -0.7623257934255319, -0.4500395010212766, 0.415870390106383, 0.24706836195744683, 1.184469615851064, -0.702486549148936, 0.7614146911702128, 0.6759902869787234, 0.2787342404042553, -0.0999723005957446, 0.26728554625531914, 0.06070988993617022]"
MHgcgssjaDa8OJQk0i_iHQ,"[1.52905547, -0.5394821338859316, -1.0764855540988594, -0.4605662386920153, -0.3563801099619772, -0.26674449746007606, 0.7286277432395437, 0.7852231121520912, 0.10897506444866918, 0.364443692973384, -0.6187161324866921, -1.8291214846539925, 0.9270309015057033, 1.0142717185095056, -0.8597050515741445, -0.6088255696121672, -0.8433516701596958, -0.3644676803269962, 1.0104469363117872, -1.3186141594676806, 0.14194192253231944, 1.097119622365019, 0.27019876891254757, 0.04913088587072243, -0.7120117733460077, -1.0218153032623576, 0.417335423391635, -1.3841988313612168, 0.8865473487756655, 0.3268141761825095]"
400LXhwJuQwYKLknZ3fgJQ,"[-0.2145815667946374, 0.24595588226691042, -0.14310310749542965, 0.29305072453991476, 0.2248249957221206, 0.4037726882449726, -0.3060317841072517, -0.27381064825106644, 0.3675040034795856, -1.2946659101096891, 0.057229550114564244, 0.6692242923329677, 0.7865771586045094, 0.8884362221998782, 0.27044127498476545, 0.030225925151249253, 0.3745639241681901, -0.8878772061730651, -0.08419417491163925, -1.1347595020597199, -0.12017139743449118, -0.14269017774527726, -0.8197284626630102, -0.09412684982937232, -0.4398894017672151, -0.6409308920292505, -0.1127523608397319, -0.7361997330725167, -1.195317092870201, 0.5954541744606946]"
1fBxvfNd9JZbR5R1YLHmoQ,"[0.9348092519666666, -0.543340270275, -0.8874232906252778, -0.4865186185508333, -0.004728686833333325, 0.3857440470833333, 1.1964576935416669, 0.2556103161805555, 0.08442094625000002, -0.5891269435861111, -0.016498139386111096, -0.43908566758333334, 0.39268111989999993, 0.7666350905312823, -0.8147702643194444, -0.9488995934111112, 0.023879555070000003, -0.6704316495166668, 0.1933815904361111, -0.9073646349722222, -0.014364840777777764, 0.6584968284166667, 0.2793630415916667, -0.4109076277277778, 0.5651233654947223, -0.3115744416861111, -0.6122146454166666, -0.7787482155250001, 1.295372377404722, -0.1127452873416667]"
uMHk2kudlAN94fFVNdYhxw,"[0.09165852291666667, -0.7487388567982456, 0.2250014499342105, -0.4619041018640351, 0.2831060773464913, 0.1462575697368421, 0.7007164572368422, 0.13666617947368417, 1.3525661921052632, -0.12749602105263155, -1.985800770614035, -1.020207189254386, 0.9002365828947367, -0.0018505779824561305, -1.3035746201754386, -0.6904790353070175, 0.5563773132675438, -0.8014185846491229, 0.13444318697368418, 0.016387230328947393, 0.8458330678728071, -0.5093333349780701, 0.8585085644736842, 0.6509151667763158, 0.16277093921052632, -1.148218833881579, 0.6439930761622807, -0.5045435225657895, 0.4216321502192982, 0.21736781572368424]"
rMudAMuRcmg3ZO1QeNoNCA,"[1.358179589966555, -0.030591607943143848, -0.12592011496655517, -0.2813210178093645, 0.3764272335618729, 0.6524783590301004, 1.5786289590301004, 0.2902044585284281, -0.7024132787458194, 0.01519656311036789, -0.5382541796153848, -0.9280201503846153, 0.8834734112040135, -0.1087980097324415, -0.7515207995652174, -0.8644151564882943, 0.4570953414715719, -1.1374668598996656, -0.40701872822742474, -0.9954119100334449, 0.5101951707859532, 0.24412896553511707, 1.470706985200669, -0.9123805068561873, -1.1154351766722408, -0.20998068846153858, -0.43183339799331105, -1.615095324749164, 1.0993392091638796, -1.7447449913043478]"
kJS54KSS6jvBk68lTmz9Dg,"[0.14772691334307989, -0.8081323761072126, 0.2729150405302144, -0.12380212723748538, -0.030856041228070147, 0.045227710914229995, 0.47051315895711504, 0.3508247677309942, -0.513902423134503, -1.6047560783508774, 1.4058619179727097, -0.07978629644444445, 0.2283460866062378, 0.4279358724366472, -0.7043564504270956, -0.7427410362573099, 0.08281495093177388, -0.9595015502105263, -0.08538825235867448, -2.5861793621247564, -0.00012522463947365857, -0.24546657061208577, -0.011531897662768003, -1.1837237724054581, -0.37369373319493177, 0.19335056966861602, 0.5481871902436646, -0.9209258438986355, 0.37544958951851853, -0.5149797134288499]"
xHjcLBgB3i9u_dHQZ8rirg,"[-0.015411630062857114, -0.1721143173142857, -0.09811450199428573, 0.3070619755028572, 0.21632281347428572, -0.46912308000571434, 0.021921375308571408, -0.6473447360400001, 0.20909673099428575, -0.3983594316914285, -1.885549441914286, 0.30661422324571425, 0.8266904028399997, 0.5932846645314286, 0.33501203202285706, -0.5253984275485715, 0.4706260029771428, 0.55225889788, -0.06532533640571428, -0.34732276198857154, 0.40481822902285713, -0.1483349696228572, -0.2424302958914286, 0.37229162380571423, 0.2634059126628572, -0.34257997999999995, 1.2234396326914285, -0.22147759062857147, -0.1586904048971428, 0.40519060577714294]"
Inf0o8WPK_u-xd1j6yqVWA,"[0.2772811838633194, 0.14558280532775453, -0.7752950422454673, 0.6222069846722454, 0.7307879072245468, -0.06092807135285914, 0.649109771059972, 1.1689583389121339, -1.054056719958159, -1.3317829765690377, -1.4970274077266386, -0.3469747925104603, 0.906813240362622, 0.7440298093444909, -2.0411434852161787, -1.6167300773779636, -0.17043777605299862, -0.9690134812273361, -0.8686093191631798, -1.143027260781032, -0.9650309059972105, 0.9594788958995816, -1.0420185315620643, 0.15256358315202231, -0.05784739938633194, -0.14375026495118548, 0.19218446958158997, 0.08301233426778243, 0.1365816956066945, 0.2152621930125523]"
aaJ-RaUdHyB4R3U4qNbRBA,"[1.1177581145738296, -0.7020291474789917, -0.8293842548619448, 0.4461612476470589, -0.03458032156062425, 0.706441596002401, 1.8186089377430972, 0.8201121826890756, -0.412898087214886, 0.5846125110444179, 0.10069617549819927, 0.7842311150060024, -0.035243530180072015, 0.7601796348979591, 0.2900768874669868, -0.06109561675870347, -0.78405894302521, -0.26215483715486193, 0.07716776675870349, -0.7773496872268908, -0.08575800561824727, -0.7158009748259304, 0.030776100132052793, 0.1465962442857143, -0.358121221452581, 0.645320175702281, -0.5465951965666267, -1.4215978806122447, 0.3811731072989196, 0.5953804223409364]"
rM1soPduv--f7ILhEdb8GQ,"[1.19898300185022, -0.5001526846696035, -0.539765252555066, -0.2849319044933921, 0.6229736699559473, 0.2649552059030837, 1.5839315481057268, 0.6887584969603526, 0.20378121775330393, -0.3697597078854624, 0.09860638801762114, -0.46512771506607925, -0.10833452753303971, 1.0062696802202642, -1.292718330352423, -0.7042029173568283, -0.454341180969163, -0.9062583552422908, 0.6917471505726872, 0.14309497629955947, -0.047595694008810564, 0.5719285612334801, -0.0987073859030837, 0.22872836607929514, 0.8393137847136565, -1.3994221140088106, -0.8785010912775331, -2.017748149911894, 0.8007423141850222, -1.0023903521145374]"
N0sCW5e2VB-HLPkSMGYVfA,"[0.5568592402473499, -0.38702188229681983, -0.18186808349823322, -0.09900962639575976, 0.14489501989399292, 0.5414237809187279, 0.866159146713781, 0.17583771643109541, -0.2540271991519435, 0.3848268833215548, -0.3492118584452297, -0.6482403116607774, 0.04220770565371024, 0.26041839141342754, -0.8867237957597174, -0.7527939294699646, -0.44239590618374564, -0.4508400012014134, 1.1564577199646644, -1.3392728991166079, -0.17623630045936398, 0.668550474876325, -0.03744332254416961, 0.10317608607773852, 0.3904020655830388, -0.6519496178091873, -0.928938712720848, -1.15921485229682, 0.4063547385512367, -0.3023043675971731]"
tfmTXVlF1JUJ-AauRwBiKw,"[-0.13571971479519776, -1.0911737779943502, -0.3084690477542373, -0.20428525298022604, -0.8165151413841807, 1.1760555628248588, 1.8708779223870056, 0.23001916725282487, 0.009337499350282486, -2.1081365182909604, -0.11193502085451977, 0.11777932100282489, -0.1646891831355932, 1.4142137805084745, -0.7173668046751412, -0.9026872830508476, 0.021550886129943506, -1.0070381294774011, -0.00922734189717514, 0.45289081668785314, 0.7624555337217515, -0.952405553757062, 1.433446066779661, -0.6604621513064971, 0.2752942276765537, 1.0801851148940678, -0.19162218148305085, -0.3556493936652542, 0.22049446742937856, 0.6903407256991525]"
MZ8dSU3HqlnDmS0b864Aww,"[-0.13155458424181354, 0.5648264605440806, -0.6884906009269521, -0.41061924029219143, -0.3229809850025189, 0.574902236649874, -0.1916334467808564, -0.4163061010176323, -0.16932085937027708, 0.6359768659798489, 0.40931693129284635, 0.14862448029530478, 0.6319822647607053, 0.6935334996221661, 0.2542590898186398, -0.4433399791335012, -0.079046207627204, -0.11213615654408061, -0.46645295161209066, -1.7659246810579343, 0.19456945656423172, 0.6589025949118388, -0.29715513992443326, -0.9112023003022669, -0.6759482995768262, -0.7362813046347607, 0.9647999332695214, -0.5859142235430731, -1.1637327461108313, -0.9875613938539043]"
pUfscUsFdOJI_TxVFU_VLw,"[0.5448410588793104, -1.0499881812068965, 0.21382529741379308, -1.197991725775862, 0.20842900879310347, -0.28639654103448275, 0.828679972413793, 1.0962607081896552, -0.7758891784482759, 0.473488181724138, 0.06065193620689655, -0.5401675331034482, -0.6426852572413794, 0.9643309892241378, -0.07672051551724142, -0.32933872000000003, 0.14345269724137938, -1.0172119103448276, -0.2237252822413793, -1.4366803868965519, -0.4521571637931034, 0.053540257155172404, 0.6025930680172413, 0.30750982465517235, -0.19784355887931032, -1.3007143077586207, 0.41129744612068964, -1.6392833818965518, 1.5709007137931035, 0.5956494918103449]"
6WMSw48PHoHboOG33R8OJw,"[0.31977561881504707, -0.28857160865830717, -1.040337226401254, 0.49392056724137934, 0.4506800771034482, 0.015269756257053306, 1.2843408419373041, -0.17600619505329154, -0.23820023072727278, -0.056210588100313486, -0.17595905890175548, -1.48493265984326, 1.487009321912226, 0.019953363774294686, -0.43907872816927895, -0.8400463327272726, 0.42558979030094046, -0.39357762252664574, -0.03433954423824449, -1.5539231241065832, -1.2477693742570533, 0.7281195380877742, -0.3360845020501567, -0.8319349899059563, -0.9281243035109715, -1.7604806296865205, 1.4129219039749217, -1.208427638200627, 0.3598615713667711, -0.524637152106583]"
BKLWat64KRYzsT2DgY6Xxg,"[0.20637870901307642, -0.6980074055613807, 0.3371343693608481, 0.00456164542828758, 0.2804054013478086, 0.9357973629504462, 0.34801044791112523, 0.14941424138187268, 1.2518743796208582, 0.05458167765959224, -0.2974293695585128, 0.27447785142064013, -0.33716107101343185, 0.3982397215183764, -0.18809196749178567, -0.14399655110843895, 0.4824392089839998, -1.3656072756209134, -0.5392036758014449, -0.47584751667131153, 0.5717656651095416, -0.039803291266233186, 0.8620553498216408, -0.628156005242682, 0.5050230572635522, 0.5156057268659112, -0.3387324705137261, -0.3068706389391022, -0.5183936799187132, 0.1647739915674673]"
c_pScQ7eKYTesWkcqDMn-g,"[1.4426231571005916, -0.9969450476538463, -1.089562153692308, -0.09911167631952666, 0.10615890133431954, 0.8069023989852071, 1.3752101965443788, 0.5602021068986983, -0.8727387652366864, -1.1766263144792901, -0.28763839457100593, -0.030285870455621276, 0.09786637307692306, -0.4652694675183432, 0.45311287944970413, 0.21005398251479285, -0.12410043697041423, -1.5085052064556213, -0.8486719793165088, -0.7022842302514792, -0.7630405972988165, 0.16738590577514792, 1.5032598362159764, -0.9046282954674555, -0.719802732606509, -0.4157768565739644, -0.4902978869260355, -2.290022434005917, 0.5004726956065089, -1.725102517597633]"
GvLIWb02xHBohoAdDvqxDw,"[-0.46218865392857134, -1.4295292600714287, 1.2613180917857143, -0.7455771092142857, 0.25167865267857137, 0.31321911774999994, 1.0215278282142857, -0.2903917343928572, 0.08887136310714285, 0.51366594975, -0.3937305189642857, -0.9718893960714284, 0.0043010706428571535, -0.09260480442857144, -1.114094295857143, -0.45657881699999997, -0.4672443735, 0.06612535089285713, 0.6822094572142857, -0.7926712808571429, 0.7559282315714284, 0.9443266660714287, 1.0436142555357142, -1.328813853214286, 0.09330308346428574, 0.05973138107142853, 0.07362264892857143, -0.711648973, -0.1209217747857143, 0.2877418763571429]"
ODURDhURWmZr6b--O4nt3w,"[0.1996872727855602, -0.5366052516804258, 0.498435834879764, 0.4316411221872571, 0.6183468579624622, -0.5373452620135195, -0.3012011414668516, -0.2103985439395944, 1.1364505765784558, -0.1908013763142183, 0.09326097330360991, 0.36214193324665606, 0.6202847689141378, 0.8970927234704441, -0.17069527672199042, 0.2550878958489286, 0.783319064337696, -0.3696720999272256, 0.07358446122054767, -1.3672502677836909, 0.4819764193597007, -0.19414569790737812, -0.5453275963958002, 0.3637016273527973, 0.3523119762879332, -0.1898891461297281, 0.05267441359916295, -0.4878889370064722, -0.8872041593174884, -0.21667701185387597]"
